"id,case_id,old_channel_id,drive_folder_id,error_message,failed_at"
"43,7,3263ef39-ed76-43d9-9f77-1d60552c445f,1tY4MKh4x_lYUAkza3FfqpfEkZ2KVzaJo,Rate limit exceeded for creating file subscriptions.,2026-05-30 15:03:01.227911+00"
"44,7,e9bf6b42-63be-41f7-9a40-cb2dd2976e6b,1qYCGNrBFkJcJ1QtnItIjcJz1Zc9Ea3OM,Rate limit exceeded for creating file subscriptions.,2026-05-30 15:03:02.827535+00"
"45,7,9e0045e3-fd77-45ce-8461-30004480a078,1xAsZ6f0w-bFOi0tHgidnvWzGBO-Z8roW,Rate limit exceeded for creating file subscriptions.,2026-05-30 15:03:04.127351+00"
"46,7,5918871f-b9a4-4c77-bc94-221b2619478a,1GkRcGo6xm50ydMdecsNU168CGJXa-UBe,Rate limit exceeded for creating file subscriptions.,2026-05-30 15:03:05.62671+00"
"47,7,3895b3f1-04f0-4f4a-953c-c323861cba27,1pTPvxVk1JeHFLf4pNf2hjnAT0j3rfkfD,Rate limit exceeded for creating file subscriptions.,2026-05-30 15:03:06.827589+00"
"48,7,a874bf64-d335-47c8-8b64-0390443052c4,1vrXxzp25E7iX54IHz_tX9wObkY3vaXVM,Rate limit exceeded for creating file subscriptions.,2026-05-30 15:03:08.927862+00"
"49,7,2b0c335f-9f76-429c-b789-a41698952384,1j3xM4qwHDE6WcD7kZQgzFacPpbhXDno6,Rate limit exceeded for creating file subscriptions.,2026-05-30 15:03:10.526666+00"
"50,7,1f07a514-764c-4dce-8282-4d409c86245e,1DausJusoKfdvbBzMx7Oq54IFVhfGPFjQ,Rate limit exceeded for creating file subscriptions.,2026-05-30 15:03:12.127651+00"
"51,7,7232df95-eadc-4535-b4a7-f9ef976943df,1iwGKZqVVch2YXCgAqJAk-L5DhdtxvWkJ,Rate limit exceeded for creating file subscriptions.,2026-05-30 15:03:13.52758+00"
"52,7,1d988283-73cc-461b-9aed-0cb6b9318221,1EbhgPStE5tQWcLRjfNltchifhjnOu4wH,Rate limit exceeded for creating file subscriptions.,2026-05-30 15:03:15.029365+00"
"53,7,d76f2037-485b-45d6-81b2-01820a5f3be0,17yqpEivczrHp1F6Lf1d-hOVp6dNeOrh6,Rate limit exceeded for creating file subscriptions.,2026-05-30 15:03:16.827675+00"
"54,7,a3789abe-3e4e-4bd4-8e6f-0d7b237b5f18,15iEbLbCcxr7KR2UgVfDQ5Fr1S9xQXEuR,Rate limit exceeded for creating file subscriptions.,2026-05-30 15:03:18.627014+00"
"55,7,27a2f356-8d64-4950-a775-c58c3e287b02,1y7i-eUd5V6-GfoFUgBQ1hFLad-dLCjNk,Rate limit exceeded for creating file subscriptions.,2026-05-30 15:03:20.328213+00"
"56,7,47523df8-f1f0-4a9b-adf0-d6056ca8fbd1,10JAhALEU6dfWQGe3oLzSzqukJXGbLHfr,Rate limit exceeded for creating file subscriptions.,2026-05-30 15:03:21.627868+00"
